H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	Neandertal.bam	37	40	-0.03896104	-0.03896104	0.1287818	-0.3025353
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	Neandertal.bam	45	38	0.08433735	0.08433735	0.1285567	0.6560325
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	Neandertal.bam	39	30	0.1304348	0.1304348	0.1406905	0.9271041
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	Neandertal.bam	48	40	0.09090909	0.09090909	0.09817488	0.9259914
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	Neandertal.bam	40	30	0.1428571	0.1428571	0.1441647	0.9909303
small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	Neandertal.bam	35	34	0.01449275	0.01449275	0.1335811	0.108494
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	Neandertal.bam	38	39	-0.01298701	-0.01298701	0.1154804	-0.1124608
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	Neandertal.bam	38	37	0.01333333	0.01333333	0.1127376	0.1182687
small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	Neandertal.bam	35	42	-0.09090909	-0.09090909	0.1429334	-0.636024
small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	Neandertal.bam	34	37	-0.04225352	-0.04225352	0.124648	-0.3389826
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	Neandertal.bam	51	46	0.05154639	0.05154639	0.1220787	0.4222389
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	Neandertal.bam	38	31	0.1014493	0.1014493	0.128676	0.7884088
small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	Neandertal.bam	50	53	-0.02912621	-0.02912621	0.1353893	-0.2151294
small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	Neandertal.bam	38	42	-0.05	-0.05	0.1393287	-0.3588635
small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	Neandertal.bam	44	38	0.07317073	0.07317073	0.130589	0.5603129
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	Neandertal.bam	46	45	0.01098901	0.01098901	0.1076116	0.1021173
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	Neandertal.bam	37	34	0.04225352	0.04225352	0.1122396	0.3764581
small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	Neandertal.bam	42	49	-0.07692308	-0.07692308	0.1068372	-0.7200028
small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	Neandertal.bam	38	45	-0.08433735	-0.08433735	0.1062873	-0.7934845
small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	Neandertal.bam	38	38	0	6.938894e-18	0.1248269	0
small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	Neandertal.bam	35	38	-0.04109589	-0.04109589	0.1522068	-0.2700003
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12842.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	Neandertal.bam	46	29	0.2266667	0.2266667	0.1320288	1.716797
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12842.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	Neandertal.bam	45	26	0.2676056	0.2676056	0.1297092	2.06312
